Date,Adj Close
19.12.2005,27.51
20.12.2005,27.55
21.12.2005,27.79
22.12.2005,27.9
23.12.2005,27.88
27.12.2005,27.51
28.12.2005,27.59
29.12.2005,27.55
30.12.2005,27.21
03.01.2006,27.05
04.01.2006,27.29
05.01.2006,27.32
06.01.2006,27.48
09.01.2006,28.01
10.01.2006,28.03
11.01.2006,28.51
12.01.2006,28.07
13.01.2006,27.81
17.01.2006,27.91
18.01.2006,28.23
19.01.2006,28.4
20.01.2006,28.93
23.01.2006,28.81
24.01.2006,28.93
25.01.2006,28.37
26.01.2006,28.19
27.01.2006,28.28
30.01.2006,28.26
31.01.2006,28.25
01.02.2006,28.78
02.02.2006,28.6
03.02.2006,29.02
06.02.2006,29.15
07.02.2006,29.2
08.02.2006,29.34
09.02.2006,29.29
10.02.2006,29.31
13.02.2006,29.34
14.02.2006,29.35
15.02.2006,29.05
16.02.2006,29.35
17.02.2006,29.1
21.02.2006,28.77
22.02.2006,29.01
23.02.2006,28.72
24.02.2006,28.51
27.02.2006,28.44
28.02.2006,28.17
01.03.2006,28.18
02.03.2006,28.19
03.03.2006,28.12
06.03.2006,27.97
07.03.2006,27.95
08.03.2006,27.98
09.03.2006,27.86
10.03.2006,27.96
13.03.2006,27.69
14.03.2006,27.64
15.03.2006,28.05
16.03.2006,28.29
17.03.2006,28.32
20.03.2006,28.02
21.03.2006,28.16
22.03.2006,28.08
23.03.2006,27.87
24.03.2006,28
27.03.2006,27.88
28.03.2006,27.68
29.03.2006,27.92
30.03.2006,27.88
31.03.2006,27.72
03.04.2006,28.02
04.04.2006,27.97
05.04.2006,28.09
06.04.2006,27.92
07.04.2006,28.14
10.04.2006,28.52
11.04.2006,28.68
12.04.2006,28.39
13.04.2006,28.12
17.04.2006,27.69
18.04.2006,27.82
19.04.2006,27.88
20.04.2006,28.3
21.04.2006,27.92
24.04.2006,27.64
25.04.2006,27.31
26.04.2006,27.52
27.04.2006,27.93
28.04.2006,27.89
01.05.2006,27.73
02.05.2006,27.76
03.05.2006,28.13
04.05.2006,28.12
05.05.2006,28.41
08.05.2006,28.55
09.05.2006,28.91
10.05.2006,29.01
11.05.2006,28.52
12.05.2006,28.14
15.05.2006,28.22
16.05.2006,28
17.05.2006,27.89
18.05.2006,27.79
19.05.2006,27.55
22.05.2006,27.46
23.05.2006,27.05
24.05.2006,26.59
25.05.2006,26.84
26.05.2006,26.56
30.05.2006,26.4
31.05.2006,26.76
01.06.2006,27.17
02.06.2006,27.04
05.06.2006,26.75
06.06.2006,26.88
07.06.2006,26.88
08.06.2006,27.18
09.06.2006,26.93
12.06.2006,26.57
13.06.2006,25.77
14.06.2006,26.51
15.06.2006,26.91
16.06.2006,26.74
19.06.2006,26.51
20.06.2006,26.59
21.06.2006,26.95
